Date,Close,High,Low,Open,Volume
2025-04-02,57717.2421875,58306.193638392855,57226.449311755954,57717.2421875,14402297
2025-04-03,56539.3359375,56735.653076171875,55852.22595214844,55852.22595214844,19508076
2025-04-04,55066.9609375,57128.29102606952,54674.32663491533,55165.119513146165,23527139
2025-04-07,52220.35546875,53103.78253495066,52122.19690583881,52318.51403166119,31998883
2025-04-08,52514.828125,54281.682155373834,52318.51101051402,53987.206483644855,25532845
2025-04-09,52024.04296875,53300.10440005897,51925.88439711085,52318.518683667455,20576960
2025-04-10,55361.4296875,55655.90537732713,53987.20980164007,55557.74681405142,22948172
2025-04-11,54183.52734375,54674.32016389266,53790.89308763587,54576.161599864135,13930480
2025-04-14,55165.11328125,55655.90610403692,54772.47902302046,55263.27184580739,12852613
2025-04-15,55557.74609375,56048.53890376546,55165.111845737636,55263.270407740725,8998640
2025-04-16,53692.734375,55165.11283135283,53496.417247486286,54968.795703839125,14437025
2025-04-17,54085.3671875,54281.68430977767,53496.41582066697,53692.73294294465,10867069
2025-04-18,54281.69140625,54576.16712816456,53889.05711036392,54281.69140625,5848342
2025-04-21,54379.84765625,54968.799074909744,54085.371946920124,54183.53051669675,5941847
2025-04-22,53987.2109375,54478.00376420454,53692.73524147727,53889.05237215909,9532469
2025-04-23,54674.3203125,55066.95456968133,54478.003183909335,54968.796005386,11148692
2025-04-24,54674.3203125,54772.478876795336,54183.52749102334,54576.16174820467,10580377
2025-04-25,54674.3203125,55361.43026256733,54576.16174820467,55361.43026256733,12183303
2025-04-28,54772.48046875,54870.6390358983,54478.00476730511,54772.48046875,9341518
2025-04-29,54772.48046875,55459.59043878808,54576.163334453406,54674.3219016017,10295518
2025-04-30,54478.00390625,54968.79673423424,54281.6867750563,54870.638168637386,13014189
2025-05-02,53300.1015625,54478.00435946132,53201.94299608655,53987.2115273941,22454204
2025-05-07,53594.58203125,53987.21633184524,53300.10630580357,53496.42345610119,17136991
2025-05-08,53594.58203125,54478.00920758928,53496.42345610119,54085.374906994046,16320532
2025-05-09,53790.8984375,53987.215585082115,53398.26414233576,53692.73986370894,7814322
2025-05-12,56539.3359375,56539.3359375,53987.213134765625,54183.5302734375,15414702
2025-05-13,55852.23046875,57128.291973308435,55754.07189147628,56637.4990869398,16842801
2025-05-14,56343.01953125,56833.81238430967,55950.38524880226,56441.17810186193,12468089
2025-05-15,56244.859375,57520.9207569808,56048.54223931064,56343.01794284468,13139736
2025-05-16,55754.0703125,56441.180333956865,55655.91173800616,56343.02175946302,10385352
